Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://www.vishay.com/docs/30204/rsns.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/RSD%20SERIES.jpg","RSD-.10RTR-ND,RSD-.10RCT-ND","RS010R1000FE73","Vishay Dale","Vishay Dale","RES 0.1 OHM 10W 1% WW AXIAL","7,592","3.84","0","1","Tape & Reel (TR),Cut Tape (CT)","RS","Active","100 mOhms","±1%","10W","Wirewound","Moisture Resistant","-","-65°C ~ 250°C","Axial","Axial","0.375"" Dia x 1.780"" L (9.53mm x 45.21mm)","-","2","-"
"https://www.vishay.com/docs/30204/rsns.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/RSD%20SERIES.jpg","RSD-.50RTR-ND,RSD-.50RCT-ND","RS010R5000FE73","Vishay Dale","Vishay Dale","RES 0.5 OHM 10W 1% WW AXIAL","2,249","3.84","0","1","Tape & Reel (TR),Cut Tape (CT)","RS","Active","500 mOhms","±1%","10W","Wirewound","Moisture Resistant","±90ppm/°C","-65°C ~ 250°C","Axial","Axial","0.375"" Dia x 1.780"" L (9.53mm x 45.21mm)","-","2","-"
"https://www.vishay.com/docs/30204/rsns.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/RSC%20SERIES.jpg","RSC-39KRTR-ND,RSC-39KRCT-ND","RS00539K00FE73","Vishay Dale","Vishay Dale","RES 39K OHM 5W 1% WW AXIAL","5,265","4.12","0","1","Tape & Reel (TR),Cut Tape (CT)","RS","Active","39 kOhms","±1%","5W","Wirewound","Moisture Resistant","±20ppm/°C","-65°C ~ 250°C","Axial","Axial","0.312"" Dia x 0.875"" L (7.92mm x 22.23mm)","-","2","-"
"https://www.vishay.com/docs/31800/alsralvr.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/ALSR%20SERIES%205W.JPG","ALSR5F-150-ND","ALSR05150R0FE12","Vishay Dale","Vishay Dale","RES 150 OHM 5W 1% AXIAL","10,436","2.34","0","1","Bulk","ALSR","Active","150 Ohms","±1%","5W","Wirewound","Moisture Resistant","±30ppm/°C","-65°C ~ 250°C","Axial","Axial","0.312"" Dia x 0.875"" L (7.92mm x 22.23mm)","-","2","-"
"https://www.vishay.com/docs/31800/alsralvr.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/ALSR%20SERIES%205W.JPG","ALSR5F-10-ND","ALSR0510R00FE12","Vishay Dale","Vishay Dale","RES 10 OHM 5W 1% AXIAL","4,715","2.34","0","1","Bulk","ALSR","Active","10 Ohms","±1%","5W","Wirewound","Moisture Resistant","±30ppm/°C","-65°C ~ 250°C","Axial","Axial","0.312"" Dia x 0.875"" L (7.92mm x 22.23mm)","-","2","-"
"https://www.ohmite.com/assets/docs/res_ox_oy.pdf?r=false","//media.digikey.com/photos/Ohmite%20Photos/OX102KE.jpg","OX102KE-ND","OX102KE","Ohmite","Ohmite","RES 1K OHM 1W 10% AXIAL","7,778","2.38","0","1","Bulk","OX","Active","1 kOhms","±10%","1W","Ceramic","Moisture Resistant, Pulse Withstanding","-1000/ -1600ppm/°C","-40°C ~ 220°C","Axial","Axial","0.217"" Dia x 0.650"" L (5.50mm x 16.50mm)","-","2","-"
"https://www.vishay.com/docs/31800/alsralvr.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/ALSR%20SERIES%205W.JPG","ALSR5F-.50-ND","ALSR05R5000FE12","Vishay Dale","Vishay Dale","RES 0.5 OHM 5W 1% AXIAL","5,026","2.42","0","1","Bulk","ALSR","Active","500 mOhms","±1%","5W","Wirewound","Moisture Resistant","±90ppm/°C","-65°C ~ 250°C","Axial","Axial","0.312"" Dia x 0.875"" L (7.92mm x 22.23mm)","-","2","-"
"https://www.vishay.com/docs/31800/alsralvr.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/ALSR%20SERIES%203W.JPG","ALSR3F-1.0-ND","ALSR031R000FE12","Vishay Dale","Vishay Dale","RES 1 OHM 3W 1% AXIAL","5,713","2.47","0","1","Bulk","ALSR","Active","1 Ohms","±1%","3W","Wirewound","Moisture Resistant","±50ppm/°C","-65°C ~ 250°C","Axial","Axial","0.180"" Dia x 0.500"" L (4.57mm x 12.70mm)","-","2","-"
"https://www.ohmite.com/assets/docs/res_ox_oy.pdf?r=false","//media.digikey.com/photos/Ohmite%20Photos/OX470KE.jpg","OX470KE-ND","OX470KE","Ohmite","Ohmite","RES 47 OHM 1W 10% AXIAL","7,058","2.51","0","1","Bulk","OX","Active","47 Ohms","±10%","1W","Ceramic","Moisture Resistant, Pulse Withstanding","-1000/ -1600ppm/°C","-40°C ~ 220°C","Axial","Axial","0.217"" Dia x 0.650"" L (5.50mm x 16.50mm)","-","2","-"
"https://www.ohmite.com/assets/docs/res_ox_oy.pdf?r=false","//media.digikey.com/photos/Ohmite%20Photos/OY102KE.jpg","OY102KE-ND","OY102KE","Ohmite","Ohmite","RES 1K OHM 2W 10% AXIAL","3,200","3.06","0","1","Bulk","OY","Active","1 kOhms","±10%","2W","Ceramic","Moisture Resistant, Pulse Withstanding","-1000/ -1600ppm/°C","-40°C ~ 220°C","Axial","Axial","0.276"" Dia x 0.748"" L (7.00mm x 19.00mm)","-","2","-"
