Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance @ Vr, F","Capacitance Ratio","Capacitance Ratio Condition","Voltage - Peak Reverse (Max)","Diode Type","Q @ Vr, F","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"https://www.nxp.com/docs/en/data-sheet/BB175.pdf","//media.digikey.com/renders/NXP%20Semi%20Renders/SOD-523%20(1-1G1A,%20SC-79).jpg","568-BB175XTR-ND,568-BB175XCT-ND,568-BB175XDKR-ND","BB175X","NXP USA Inc.","NXP USA Inc.","DIODE VHF VAR CAP 32V SOD523","6,788","0.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.89pF @ 28V, 1MHz","22","C1/C28","32 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SOD-523"
"https://www.skyworksinc.com:443/search?q=smv1763_series_200072m#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SMV1247-040LF.jpg","863-1736-2-ND,863-1736-1-ND,863-1736-6-ND","SMV1763-040LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","5,580","0.8","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.9pF @ 2.5V, 1MHz","2.7","C0.5/C2.5","10 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","0402 (1005 Metric)","0402"
"https://www.skyworksinc.com:443/search?q=201953a#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SMV1247-040LF.jpg","863-1769-2-ND,863-1769-1-ND,863-1769-6-ND","SMV2201-040LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE TUNING VARACTOR 0402","3,538","0.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","-","-","-","22 V","Single","500 @ 4V, 50MHz","-55°C ~ 175°C (TJ)","Surface Mount","0402 (1005 Metric)","0402"
"//media.digikey.com/pdf/Data%20Sheets/Skyworks%20PDFs/SMV1247-55_Series_9-12-19.pdf","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SMV1247-040LF.jpg","863-1721-2-ND,863-1721-1-ND,863-1721-6-ND","SMV1253-040LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","21,005","0.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","4.8pF @ 4.7V, 50MHz","12.3","C0.3/C4.7","15 V","Single","350 @ 3V, 50MHz","-55°C ~ 125°C (TJ)","Surface Mount","0402 (1005 Metric)","0402"
"https://www.skyworksinc.com:443/search?q=smv2026_series_201836c#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SOD882;;2.jpg","863-1742-2-ND,863-1742-1-ND,863-1742-6-ND","SMV2026-040LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","20,312","0.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","6.5pF @ 10V, 1MHz","2.5","C2/C10","15 V","Single","-","-55°C ~ 175°C (TJ)","Surface Mount","SOD-882","SOD-882"
"https://www.skyworksinc.com:443/search?q=201953a#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SMV1247-040LF.jpg","863-1744-2-ND,863-1744-1-ND,863-1744-6-ND","SMV2202-040LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","20,239","0.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","-","-","-","22 V","Single","500 @ 4V, 50MHz","-55°C ~ 175°C (TJ)","Surface Mount","0402 (1005 Metric)","0402"
"https://www.skyworksinc.com:443/search?q=201953a#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SMV1247-040LF.jpg","863-1746-2-ND,863-1746-1-ND,863-1746-6-ND","SMV2204-040LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","13,135","0.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","-","-","-","22 V","Single","400 @ 4V, 50MHz","-55°C ~ 175°C (TJ)","Surface Mount","0402 (1005 Metric)","0402"
"https://www.skyworksinc.com:443/404-ErrorPage?item=%2fuploads%2fdocuments%2fsmv123x_series_200058w&user=extranet%5cAnonymous&site=SkyworksInc","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SOD882;;2.jpg","863-1712-2-ND,863-1712-1-ND,863-1712-6-ND","SMV1233-040LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR 15V 20MA","8,310","0.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","1.1pF @ 6V, 50MHz","3.3","C1/C6","15 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SOD-882","SOD-882"
"https://www.skyworksinc.com:443/search?q=smv1405_1430_series_200068v#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SOD882;;2.jpg","863-1732-2-ND,863-1732-1-ND,863-1732-6-ND","SMV1408-040LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","6,468","0.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.11pF @ 4V, 50MHz","4.1","C0/C30","30 V","Single","2900 @ 4V, 50MHz","-55°C ~ 125°C (TJ)","Surface Mount","SOD-882","SOD-882"
"https://www.skyworksinc.com:443/404-ErrorPage?item=%2fuploads%2fdocuments%2fsmv121x_series_200057t&user=extranet%5cAnonymous&site=SkyworksInc","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SOT23-3;;3.jpg","863-1128-2-ND,863-1128-1-ND,863-1128-6-ND","SMV1213-004LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR 12V 20MA SOT23-3","18,619","1.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","5.5pF @ 4V, 50MHz","5","C1/C4","12 V","1 Pair Common Cathode","-","-55°C ~ 125°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
