Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Type","Circuit","Independent Circuits","Current - Output High, Low","Voltage Supply Source","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"https://assets.nexperia.com/documents/data-sheet/74LVC1G157_Q100.pdf","//media.digikey.com/Photos/Nexperia/MFG_PMN20ENAX.jpg","1727-2068-2-ND,1727-2068-1-ND,1727-2068-6-ND","74LVC1G157GV-Q100H","Nexperia USA Inc.","Nexperia USA Inc.","IC MULTIPLEXER 1 X 2:1 6TSOP","3,565","0.58","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74LVC","Active","Multiplexer","1 x 2:1","1","32mA, 32mA","Single Supply","1.65V ~ 5.5V","-40°C ~ 125°C","Surface Mount","SC-74, SOT-457","6-TSOP"
"https://assets.nexperia.com/documents/data-sheet/74HC_HCT138.pdf","//media.digikey.com/Photos/Nexperia/MFG_SO16_SOT109-1.jpg","1727-2781-2-ND,1727-2781-1-ND,1727-2781-6-ND","74HC138D,653","Nexperia USA Inc.","Nexperia USA Inc.","IC DECODER/DEMUX 1 X 3:8 16SO","5,480","0.59","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74HC","Active","Decoder/Demultiplexer","1 x 3:8","1","5.2mA, 5.2mA","Single Supply","2V ~ 6V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SO"
"https://assets.nexperia.com/documents/data-sheet/74HC_HCT138.pdf","//media.digikey.com/Photos/Nexperia/MFG_SO16_SOT109-1.jpg","1727-3780-ND","74HC138D,652","Nexperia USA Inc.","Nexperia USA Inc.","IC DECODER/DEMUX 1 X 3:8 16SO","2","0.67","0","1","Tube","74HC","Active","Decoder/Demultiplexer","1 x 3:8","1","5.2mA, 5.2mA","Single Supply","2V ~ 6V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SO"
"https://www.onsemi.com/pdf/datasheet/nc7sz19-d.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg","NC7SZ19P6XTR-ND,NC7SZ19P6XCT-ND,NC7SZ19P6XDKR-ND","NC7SZ19P6X","ON Semiconductor","ON Semiconductor","IC DECODER/DEMUX 1 X 1:2 SC88","4,967","0.58","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","7SZ","Active","Decoder/Demultiplexer","1 x 1:2","1","32mA, 32mA","Single Supply","1.65V ~ 5.5V","-40°C ~ 85°C","Surface Mount","6-TSSOP, SC-88, SOT-363","SC-88 (SC-70-6)"
"https://www.onsemi.cn/pdf/datasheet/nc7sz66-d.pdf","//media.digikey.com/Renders/Fairchild%20Semi%20Renders/261;MKT-MAA05A;P5;5.jpg","NC7SZ66P5XTR-ND,NC7SZ66P5XCT-ND,NC7SZ66P5XDKR-ND","NC7SZ66P5X","ON Semiconductor","ON Semiconductor","IC BUS SWITCH 1 X 1:1 SC70-5","31,618","0.58","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","7SZ","Active","Bus Switch","1 x 1:1","1","-","Single Supply","1.65V ~ 5.5V","-40°C ~ 85°C","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-70-5"
"https://assets.nexperia.com/documents/data-sheet/74LVC1G18.pdf","//media.digikey.com/Photos/Nexperia/MFG_SOT363.jpg","1727-6071-2-ND,1727-6071-1-ND,1727-6071-6-ND","74LVC1G18GW,125","Nexperia USA Inc.","Nexperia USA Inc.","IC DEMULTIPLEXER 1 X 1:2 6TSSOP","6,916","0.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74LVC","Active","Demultiplexer","1 x 1:2","1","32mA, 32mA","Single Supply","1.65V ~ 5.5V","-40°C ~ 125°C","Surface Mount","6-TSSOP, SC-88, SOT-363","6-TSSOP"
"http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc157a","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC.jpg","296-14907-2-ND,296-14907-1-ND,296-14907-6-ND","SN74LVC157ADR","Texas Instruments","Texas Instruments","IC MULTIPLEXER 4 X 2:1 16SOIC","3,926","0.54","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74LVC","Active","Multiplexer","4 x 2:1","1","24mA, 24mA","Single Supply","2V ~ 3.6V","-40°C ~ 85°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
"https://assets.nexperia.com/documents/data-sheet/74AUP1G157.pdf","//media.digikey.com/Photos/Nexperia/MFG_SOT363.jpg","1727-4291-2-ND,1727-4291-1-ND,1727-4291-6-ND","74AUP1G157GW,125","Nexperia USA Inc.","Nexperia USA Inc.","IC MULTIPLEXER 1 X 2:1 6TSSOP","4,444","0.64","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74AUP","Active","Multiplexer","1 x 2:1","1","4mA, 4mA","Single Supply","0.8V ~ 3.6V","-40°C ~ 125°C (TA)","Surface Mount","6-TSSOP, SC-88, SOT-363","6-TSSOP"
"https://assets.nexperia.com/documents/data-sheet/74LVC157A.pdf","//media.digikey.com/Photos/NXP%20Semi%20Photos/MFG_DHVQFN16_SOT763.jpg","1727-3485-2-ND,1727-3485-1-ND,1727-3485-6-ND","74LVC157ABQ,115","Nexperia USA Inc.","Nexperia USA Inc.","IC MULTIPLEXER 4 X 2:1 16DHVQFN","9,885","0.51","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74LVC","Active","Multiplexer","4 x 2:1","1","24mA, 24mA","Single Supply","1.2V ~ 3.6V","-40°C ~ 125°C","Surface Mount","16-VFQFN Exposed Pad","16-DHVQFN (2.5x3.5)"
"https://assets.nexperia.com/documents/data-sheet/74LVC157A.pdf","//media.digikey.com/Photos/NXP%20Semi%20Photos/MFG_SOT403.jpg","1727-4028-2-ND,1727-4028-1-ND,1727-4028-6-ND","74LVC157APW,118","Nexperia USA Inc.","Nexperia USA Inc.","IC MULTIPLEXER 4 X 2:1 16TSSOP","5,357","0.51","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74LVC","Active","Multiplexer","4 x 2:1","1","24mA, 24mA","Single Supply","1.2V ~ 3.6V","-40°C ~ 125°C","Surface Mount","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
