Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5H474-R.jpg","283-2820-ND","KR-5R5H334-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 330MF -20% +80% 5.5V T/H","4,811","5.75","0","1","Bulk","KR","Active","330 mF","-20%, +80%","5.5 V","50Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.197"" (5.00mm)","-25°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/COOPERBUSSMANN-SERIES-KR-5R5C.jpg","283-2808-ND","KR-5R5C334-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 330MF -20% +80% 5.5V T/H","680","5.88","0","1","Bulk","KR","Active","330 mF","-20%, +80%","5.5 V","50Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.256"" (6.50mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28421/220edlc-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_MAL222090001E3.jpg","4826PHBK-ND","MAL222090003E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 15F -20% +50% 2.7V T/H","567","5.91","0","1","Tray","ENYCAP™ 220 EDLC","Active","15 F","-20%, +50%","2.7 V","30mOhm","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","0.846"" (21.50mm)","-40°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPL-22/12X35F","//media.digikey.com/Photos/TecateGroup/MFG_TPL-22_12X35F.jpg","2085-TPL-22/12X35F-ND","TPL-22/12X35F","Tecate Group","Tecate Group","CAP 22F -10% +20% 2.7V T/H","426","5.91","0","1","Bulk","TPL","Active","22 F","-10%, +20%","2.7 V","30mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.492"" Dia (12.50mm)","1.457"" (37.00mm)","-40°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/34WR12X40","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/34WR12X40-ND","TPLH-2R7/34WR12X40","Tecate Group","Tecate Group","CAP 34F 2.7V THROUGH HOLE","615","6.17","0","1","Bulk","TPLH-2R7","Active","34 F","-","2.7 V","20mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.492"" Dia (12.50mm)","1.890"" (48.00mm)","-40°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/new/pdf/dhl_e.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DHL-5R5D104T.jpg","604-1158-ND","DHL-5R5D224T","Elna America","Elna America","CAP 220MF -20% +80% 5.5V T/H","3,023","6.21","0","1","Bulk","DHL","Active","220 mF","-20%, +80%","5.5 V","40Ohm","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.374"" (9.50mm)","-40°C ~ 85°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11312-ND","SCMR18G604SRBA0","AVX Corporation","AVX Corporation","CAP 600MF -10% +30% 7.5V T/H","681","6.24","0","1","Bulk","SCM","Active","600 mF","-10%, +30%","7.5 V","225mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.531"" (13.50mm)","0.945"" L x 0.315"" W (24.00mm x 8.00mm)","0.768"" (19.50mm)","-40°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/DKA_Series_DS.pdf","//media.digikey.com/photos/United%20Chemi-Con%20Photos/MFG_DDKA2R5ELL500KM50S.jpg","565-DDKA2R5ELL500KM50S-ND","DDKA2R5ELL500KM50S","United Chemi-Con","United Chemi-Con","SUPERCAP 2.5V 50F","717","6.52","0","1","Bulk","DLCAP™, DKA","Active","50 F","±10%","2.5 V","110mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.969"" (50.00mm)","-40°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/44WR12X46","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/44WR12X46-ND","TPLH-2R7/44WR12X46","Tecate Group","Tecate Group","CAP 44F 2.7V THROUGH HOLE","716","7.17","0","1","Bulk","TPLH-2R7","Active","44 F","-","2.7 V","13mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.492"" Dia (12.50mm)","1.890"" (48.00mm)","-40°C ~ 85°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11481-ND","SCMT32C755SRBA0","AVX Corporation","AVX Corporation","CAP 7.5F -10% +30% 5V T/H","483","7.21","0","1","Bulk","SCM","Active","7.5 F","-10%, +30%","5 V","70mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.709"" (18.00mm)","0.984"" L x 0.492"" W (25.00mm x 12.50mm)","1.319"" (33.50mm)","-40°C ~ 85°C"
